#CARRERA;TICK;STEER_ANGLE;TRACK_POSITION;EPSILON;DIST_RACED;DIST_FROM_START_LINE;
9;83;3.0;0.334599;0.9900000002235174;0.671509;2033.23;
9;84;3.0;0.334651;0.9900000002235174;0.723877;2033.29;
9;85;3.0;0.334705;0.9900000002235174;0.77832;2033.34;
9;86;3.0;0.334758;0.9900000002235174;0.834839;2033.4;
9;87;3.0;0.334812;0.9900000002235174;0.893433;2033.45;
9;88;3.0;0.334868;0.9900000002235174;0.954102;2033.52;
9;89;3.0;0.334922;0.9900000002235174;1.01697;2033.58;
9;90;3.0;0.334979;0.9900000002235174;1.08203;2033.64;
9;91;3.0;0.335036;0.9900000002235174;1.14917;2033.71;
9;92;3.0;0.335093;0.9900000002235174;1.21851;2033.78;
9;93;3.0;0.335149;0.9900000002235174;1.29004;2033.85;
9;94;3.0;0.335206;0.9900000002235174;1.36377;2033.92;
9;95;3.0;0.335265;0.9900000002235174;1.4397;2034.0;
9;96;3.0;0.335323;0.9900000002235174;1.51794;2034.08;
9;97;3.0;0.335382;0.9900000002235174;1.59839;2034.16;
9;98;3.0;0.335445;0.9900000002235174;1.68945;2034.25;
9;99;3.0;0.335502;0.9900000002235174;1.77466;2034.34;
9;100;3.0;0.335557;0.9900000002235174;1.8623;2034.42;
9;101;3.0;0.335611;0.9900000002235174;1.95215;2034.51;
9;102;3.0;0.335664;0.9900000002235174;2.04431;2034.61;
9;103;3.0;0.335716;0.9900000002235174;2.13892;2034.7;
9;104;3.0;0.335765;0.9900000002235174;2.23572;2034.8;
9;105;3.0;0.335813;0.9900000002235174;2.33508;2034.9;
9;106;3.0;0.335861;0.9900000002235174;2.43689;2035.0;
9;107;3.0;0.335906;0.9900000002235174;2.54114;2035.1;
9;108;3.0;0.335948;0.9900000002235174;2.64795;2035.21;
9;109;3.0;0.335989;0.9900000002235174;2.7572;2035.32;
9;110;3.0;0.336021;0.9900000002235174;2.86914;2035.43;
9;111;3.0;0.336049;0.9900000002235174;2.98389;2035.55;
9;112;3.0;0.336075;0.9900000002235174;3.10132;2035.66;
9;113;3.0;0.336097;0.9900000002235174;3.22144;2035.78;
9;114;3.0;0.336116;0.9900000002235174;3.3446;2035.91;
